Activity,Count,Total Time (seconds)
waking up and completing her morning routine,360,3600
taking a shower,180,1800
getting dressed,120,1200
doing her hair and makeup,120,1200
preparing her bag for work,30,300
having breakfast,60,600
unlocking the doors to Hobbs Cafe,30,300
turning on the lights in the cafe,60,600
checking the inventory and restocking any items that are low,120,1200
turning on the furnace,60,600
checking the temperature in the cafe and adjusting the furnace if needed,30,300
turning on the TV in the cafe,60,600
setting up the counter and preparing the cash register,60,600
brewing a fresh pot of coffee,30,300
setting out pastries and other food items for customers,60,600
preparing the coffee machine and other equipment for the day,60,600
"setting up the counter with menus, napkins, and other necessary items",60,600
greeting and welcoming customers as they enter the cafe,120,1200
greeting customers as they enter the cafe,90,900
taking orders from customers,270,2700
preparing and serving drinks,240,2400
taking payments from customers,90,900
cleaning and restocking the counter,120,1200
checking on customers and refilling their drinks,60,600
taking a short break,280,2800
closing the cafe and locking the doors,90,900
turning off the furnace,30,300
washing her hands,30,300
preparing her lunch,120,1200
sitting down to eat her lunch,180,1800
checking her phone for any urgent messages,120,1200
taking a short walk outside to get some fresh air,90,900
refilling her water bottle,30,300
checking the inventory and making a list of items that need to be restocked,150,1500
greeting customers and taking their orders,90,900
taking payments and giving change,30,300
restocking supplies and cleaning the counter,90,900
chatting with customers and making them feel welcome,420,4200
checking inventory and making a list of items to restock,90,900
preparing food orders,180,1800
serving food to customers,120,1200
taking a break to eat her own lunch,90,900
cleaning tables and restocking condiments,120,1200
taking orders and serving drinks again,180,1800
preparing to close the cafe,90,900
cleaning and wiping down the counter,120,1200
restocking the coffee beans and other supplies,180,1800
counting the cash register and recording the sales for the day,180,1800
turning off the lights and locking the doors,60,600
switching off the furnace,30,300
checking the security cameras to make sure everything is secure,60,600
setting the alarm system,60,600
making and serving coffee to customers,120,1200
engaging in small talk and getting to know her customers,90,900
checking on other customers and making sure they are satisfied,60,600
taking a break and enjoying her own cup of coffee,30,300
turning off the TV,60,600
cleaning and organizing the tables and chairs,60,600
turning off the lights in the cafe,30,300
cleaning up the counter and tables,90,900
restocking supplies for the next day,60,600
locking up the cafe,30,300
setting the alarm,30,300
getting her coat and bag,30,300
counting the day's earnings and recording them in the cash register,60,600
cleaning and wiping down the counter and tables,90,900
washing any dishes used during the day,60,600
restocking any items that were used up during the day,60,600
turning off the lights and locking up the cafe,30,300
getting her bag and coat to leave,30,300
brushing her teeth,60,600
washing her face,60,600
changing into her pajamas,30,300
setting her alarm for the next morning,30,300
turning off the lights in her bedroom,30,300
getting into bed,30,300
reading a book for 15 minutes,90,900
turning off the TV in the living room,30,300
turning off the lights in the living room,30,300
sleeping,2160,21600
waking up and getting out of bed,30,300
making breakfast,120,1200
setting up the counter and making sure everything is clean and organized,60,600
turning on the coffee machine and preparing for the morning rush,60,600
greeting customers as they enter the cafe and engaging in small talk,90,900
taking orders and preparing drinks for customers,120,1200
restocking supplies and cleaning the counter during any lulls in customers,30,300
unlocking the cafe doors,30,300
turning on the lights,30,300
checking the temperature inside the cafe,30,300
checking the inventory of supplies,60,600
restocking any necessary supplies,60,600
setting up the counter and seating areas,60,600
checking the cleanliness of the cafe,30,300
making sure the cafe is ready for customers,30,300
taking orders and preparing drinks,180,1800
engaging in small talk with customers,180,1800
clearing and cleaning tables,180,1800
restocking supplies,90,900
checking on customers and refilling drinks,180,1800
wiping down counters and tables,90,900
engaging in more small talk with customers,180,1800
washing her hands and changing into her street clothes,60,600
heating up her lunch in the microwave,30,300
setting up her lunch at a table in the cafe,30,300
eating her lunch and taking a break from work,180,1800
taking orders and making recommendations to customers,90,900
preparing and serving drinks and food to customers,120,1200
engaging in small talk with customers and making them feel welcome,60,600
clearing and cleaning tables as customers leave,60,600
making and serving drinks,180,1800
