Activity,Count,Total Time (seconds)
"completing her morning routine, including light stretching exercises and taking medication",360,3600
getting dressed in her cafe uniform,30,300
brushing her teeth and washing her face,120,1200
making breakfast and coffee for herself,90,900
checking the inventory and making a list of items to restock,60,600
getting the cash register ready and counting the starting cash,60,600
turning on the lights and music in the cafe,30,300
turning on the furnace in the cafe,30,300
unlocking the front door of the cafe,30,300
turning on the lights in the cafe,30,300
checking the inventory and restocking any items that are low,120,1200
turning on the furnace,30,300
checking the temperature in the cafe and adjusting the furnace if needed,30,300
turning on the TV in the cafe,30,300
setting up the counter and making sure everything is clean and organized,120,1200
brewing a fresh pot of coffee,30,300
setting out pastries and other food items for customers,60,600
greeting customers and taking their orders,270,2700
preparing and serving drinks,180,1800
taking food orders and preparing food,270,2700
cleaning and restocking the counter area,180,1800
taking a break and enjoying a cup of coffee,180,1800
checking inventory and restocking supplies,270,2700
interacting with customers and making them feel welcome,270,2700
cleaning tables and restocking condiments,180,1800
preparing a cup of coffee for herself,30,300
sitting down at a table and taking a sip of her coffee,30,300
checking her phone for any messages or notifications,60,600
chatting with customers who come into the cafe,90,900
checking the inventory and making a list of items that need to be restocked,120,1200
enjoying her coffee and reading a book,90,900
preparing and serving food and drinks,360,3600
cleaning and sanitizing tables and counters,180,1800
chatting with customers and making them feel welcome,540,5400
checking inventory and restocking supplies again,90,900
greeting and serving more customers,360,3600
cleaning and sanitizing tables and counters again,450,4500
cleaning and wiping down the counter,60,600
organizing the cash register and counting the money,90,900
turning off the lights in the cafe,90,900
locking the doors and setting the alarm,30,300
turning off the furnace,60,600
cleaning and restocking the condiment station,60,600
locking the front door of the cafe,30,300
counting the cash register and recording the sales for the day,60,600
cleaning and wiping down the counter and tables,90,900
washing any dishes used during the day,60,600
taking out the trash,30,300
turning on the TV,30,300
turning off the TV in the cafe,30,300
closing the cafe and locking the door,60,600
turning off the furnace in the cafe,30,300
washing her face and brushing her teeth,60,600
changing into her pajamas,30,300
taking her medication,120,1200
setting her alarm for the next day,30,300
getting into bed and adjusting her pillows,60,600
sleeping,2520,25200
waking up and getting out of bed,30,300
stretching and doing light exercises,90,900
getting dressed,60,600
making breakfast,90,900
turning on the lights and unlocking the doors,30,300
setting up the tables and chairs for customers,60,600
turning on the coffee machines and preparing the coffee station,60,600
checking the pastry display and arranging any new items,30,300
checking the piano and making sure it is in tune,30,300
reviewing the menu and making any necessary changes,60,600
setting up the cash register and making sure it is working properly,30,300
checking the inventory and restocking any items that are running low,120,1200
greeting customers as they enter the cafe with a warm smile and friendly welcome,30,300
taking orders from customers and entering them into the system,120,1200
answering any questions or concerns from customers and providing excellent customer service,120,1200
taking a short break to rest and recharge,30,300
greeting customers as they enter the cafe,60,600
taking orders from customers,181,1810
refilling coffee and water for customers,60,600
answering phone calls and taking to-go orders,90,900
restocking supplies at the counter,60,600
chatting with regular customers and asking about their day,120,1200
washing her hands and putting on gloves,30,300
preparing her lunch,60,600
sitting down to eat her lunch,120,1200
checking her phone for any urgent messages,30,300
stretching her legs and doing some light exercises,60,600
wiping down the counter and making sure it is clean and presentable,30,300
greeting customers as they enter the cafe with a warm smile and friendly hello,60,600
taking orders from customers and writing them down accurately,90,900
preparing and serving drinks and food orders to customers,60,600
setting up the piano,30,300
warming up her fingers,60,600
playing a few songs to test the sound,60,600
taking a break,30,300
playing a variety of songs to create a pleasant atmosphere,180,1800
