Activity,Count,Total Time (seconds),Category
waking up and completing her morning routine,360,3600,Personal care activities
waking up and getting out of bed,30,300,Personal care activities
stretching and doing some light exercises,60,600,Leisure and sports
taking a shower and getting dressed,120,1200,Personal care activities
making breakfast,90,900,Household activities
eating breakfast,60,600,Eating and drinking
turning on the lights and unlocking the doors to the cafe,30,300,Working and work-related
checking the inventory and restocking any items that are low,60,600,Working and work-related
preparing the coffee machine and making sure it is clean and ready for use,60,600,Working and work-related
"setting up the counter with menus, napkins, and other necessary items",60,600,Working and work-related
turning on the TV and adjusting the volume to a comfortable level for customers,30,300,Working and work-related
checking the temperature of the cafe and adjusting the furnace if needed,30,300,Personal care activities
greeting customers and taking their orders,180,1800,Working and work-related
making coffee and other drinks for customers,180,1800,Household activities
serving food and drinks to customers,180,1800,Work and work-related
cleaning and restocking the counter area,180,1800,Working and work-related
chatting with customers and making them feel welcome,570,5700,Working and work-related
taking a short break to stretch and relax,60,600,Leisure and sports
checking inventory and making a list of items to restock,390,3900,Working and work-related
preparing her lunch,60,600,Household activities
heating up her lunch in the microwave,30,300,Household activities
setting up her lunch at a table in the cafe,30,300,Household activities
checking her phone for any urgent messages,30,300,"Telephone calls, mail, and e-mail"
eating her lunch,210,2100,Eating and drinking
taking orders from customers,120,1200,Work and work-related
preparing and serving drinks,90,900,Working and work-related
taking payments and giving change,120,1200,Working and work-related
restocking supplies,120,1200,Working and work-related
cleaning and wiping down tables,90,900,Household activities
taking a short break to eat lunch,90,900,Leisure and sports
checking and responding to emails and messages,120,1200,"Telephone calls, mail, and e-mail"
preparing and serving food items,180,1800,Working and work-related
cleaning and organizing the counter area,90,900,Work and work-related
checking inventory and restocking items,120,1200,Working and work-related
preparing for closing by cleaning and organizing the cafe,180,1800,Working and work-related
turning off the furnace and TV,30,300,Working and work-related
closing the cafe and locking up,30,300,Working and work-related
closing the cash register and counting the money,30,300,Working and work-related
wiping down the counter and tables,60,600,Working and work-related
restocking the coffee beans and other supplies,150,1500,Working and work-related
checking on the customers and chatting with them,120,1200,Working and work-related
taking a short break to drink some water and stretch,60,600,Leisure and sports
checking her phone for any important messages or emails,30,300,"Telephone calls, mail, and e-mail"
preparing drinks and food orders,120,1200,Working and work-related
serving customers their orders,90,900,Working and work-related
cleaning and restocking the counter,60,600,Working and work-related
cleaning and wiping down the counter,60,600,Working and work-related
counting the cash register and recording the sales for the day,150,1500,Working and work-related
turning off the lights and locking the doors,60,600,Working and work-related
setting the alarm system,30,300,Personal care activities
turning off the furnace,30,300,Working and work-related
checking the TV to make sure it is turned off,30,300,Household activities
putting away any leftover food or drinks,90,900,Working and work-related
cleaning and closing the cafe counter,90,900,Working and work-related
counting the cash register and recording the day's sales,150,1500,Working and work-related
checking the furnace and turning it off if it's still on,30,300,Personal care activities
checking the TV and turning it off if it's still on,30,300,Household activities
cleaning and organizing the tables and chairs,60,600,Working and work-related
closing up the cafe and locking the doors,30,300,Working and work-related
turning off the lights and appliances in the cafe,60,600,Working and work-related
cleaning and organizing the cafe for the next day,120,1200,Working and work-related
turning off the TV in the cafe,30,300,Working and work-related
closing the cafe and locking the doors,60,600,Working and work-related
turning off the furnace in the cafe,30,300,Working and work-related
cleaning and tidying up the cafe,150,1500,Working and work-related
sleeping,1,10,Personal care activities
